Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (OMA)	Cross-reference (Bgee)
P50990	TCPQ_HUMAN	reviewed	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)	CCT8 C21orf112 CCTQ KIAA0002	Homo sapiens (Human)	548	WGLKYAV;	ENSG00000156261;
Q14157	UBP2L_HUMAN	reviewed	Ubiquitin-associated protein 2-like (Protein NICE-4)	UBAP2L KIAA0144 NICE4	Homo sapiens (Human)	1087	MIEVFMQ;	ENSG00000143569;
Q9BY14	TX101_HUMAN	reviewed	Testis-expressed protein 101 (Cell surface receptor NYD-SP8) (Scleroderma-associated autoantigen) (Spermatogenesis-related gene protein)	TEX101 SGRG UNQ867/PRO1884	Homo sapiens (Human)	249	SGLELYC;	ENSG00000131126;
P50991	TCPD_HUMAN	reviewed	T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta) (Stimulator of TAR RNA-binding)	CCT4 CCTD SRB	Homo sapiens (Human)	539	TGIQNMG;	ENSG00000115484;
P48643	TCPE_HUMAN	reviewed	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	CCT5 CCTE KIAA0098	Homo sapiens (Human)	541	AHDQFAN;	ENSG00000150753;
V9HW37	V9HW37_HUMAN	unreviewed	Epididymis secretory protein Li 69	HEL-S-69	Homo sapiens (Human)	541	AHDQFAN;	ENSG00000150753;
A0A0J9YXK4	A0A0J9YXK4_HUMAN	unreviewed	POM121 and ZP3 fusion protein (Fragment)	POMZP3	Homo sapiens (Human)	124		
Q05D07	Q05D07_HUMAN	unreviewed	SPA17 protein (Fragment)	SPA17	Homo sapiens (Human)	147		
C9J830	C9J830_HUMAN	unreviewed	cAMP-dependent protein kinase type II-alpha regulatory subunit (Fragment)	PRKAR2A	Homo sapiens (Human)	114		ENSG00000114302;
H0Y3M4	H0Y3M4_HUMAN	unreviewed	Zona pellucida sperm-binding protein 3 (Fragment)	ZP3	Homo sapiens (Human)	258		ENSG00000188372;
A0A1U9X7W7	A0A1U9X7W7_HUMAN	unreviewed	Epididymis secretory sperm binding protein (HSPA1L)		Homo sapiens (Human)	641	GEKKAFY;	
P78328	P78328_HUMAN	unreviewed	HP47 protein (Fragment)		Homo sapiens (Human)	78		
A0A172Q397	A0A172Q397_HUMAN	unreviewed	Sperm protein 17 (Fragment)		Homo sapiens (Human)	151	NCESEKE;	
A0A140VJQ9	A0A140VJQ9_HUMAN	unreviewed	Testicular tissue protein Li 135		Homo sapiens (Human)	755	CPPRYFN;	
J3KSF6	J3KSF6_HUMAN	unreviewed	Zona pellucida-binding protein 2 (Fragment)	ZPBP2	Homo sapiens (Human)	218		ENSG00000186075;
A0A0C4DFZ2	A0A0C4DFZ2_HUMAN	unreviewed	Arylsulfatase A	ARSA	Homo sapiens (Human)	509	HTHYPQY;	ENSG00000100299;
C9JIS7	C9JIS7_HUMAN	unreviewed	Zona pellucida-binding protein 1 (Fragment)	ZPBP	Homo sapiens (Human)	72		ENSG00000042813;
A0A0K0K1I1	A0A0K0K1I1_HUMAN	unreviewed	Cysteine-rich secretory protein 1 (Epididymis secretory protein Li 57)	HEL-S-57 CRISP1 hCG_21700	Homo sapiens (Human)	249	YDEYTDC;	ENSG00000124812;
H7C4D5	H7C4D5_HUMAN	unreviewed	POM121 and ZP3 fusion protein (Fragment)	POMZP3	Homo sapiens (Human)	124		ENSG00000146707;
J3KRM0	J3KRM0_HUMAN	unreviewed	Zona pellucida-binding protein 2	ZPBP2	Homo sapiens (Human)	265		ENSG00000186075;
A0A140VKG2	A0A140VKG2_HUMAN	unreviewed	Testis tissue sperm-binding protein Li 79P		Homo sapiens (Human)	610	EMFIDQS;	
E9PFI9	E9PFI9_HUMAN	unreviewed	Zona pellucida sperm-binding protein 3	ZP3	Homo sapiens (Human)	248		ENSG00000188372;
V9HW96	V9HW96_HUMAN	unreviewed	Chaperonin containing TCP1, subunit 2 (Beta), isoform CRA_b (Epididymis secretory sperm binding protein Li 100n)	HEL-S-100n CCT2 hCG_24460	Homo sapiens (Human)	535	PGVHQPQ;	ENSG00000166226;
